,Function
TIGR01720,non-ribosomal peptide synthase domain TIGR01720
TIGR03856,"probable F420-dependent oxidoreductase, MSMEG_2906 family"
TIGR00089,"radical SAM methylthiotransferase, MiaB/RimO family"
TIGR02397,"DNA polymerase III, subunit gamma and tau"
TIGR02379,TDP-4-keto-6-deoxy-D-glucose transaminase
TIGR01250,proline-specific peptidase
TIGR03084,TIGR03084 family protein
TIGR03455,"ATP phosphoribosyltransferase, C-terminal domain"
TIGR02167,bacterial surface protein 26-residue repeat
TIGR00131,galactokinase
TIGR03141,heme exporter protein CcmD
TIGR03686,Pup--protein ligase
TIGR02407,diaminobutyrate--2-oxoglutarate aminotransferase
TIGR02605,"putative regulatory protein, FmdB family"
TIGR02246,conserved hypothetical protein
TIGR01879,"amidase, hydantoinase/carbamoylase family"
TIGR00389,glycine--tRNA ligase
TIGR02464,conserved hypothetical protein
TIGR00255,TIGR00255 family protein
TIGR00673,cyanase
TIGR03893,"type 2 lantibiotic, SP_1948 family"
TIGR00329,"metallohydrolase, glycoprotease/Kae1 family"
TIGR00450,tRNA modification GTPase TrmE
TIGR03233,DNA sulfur modification protein DndB
TIGR01376,chlamydial polymorphic outer membrane protein repeat
TIGR03144,cytochrome c-type biogenesis protein CcsB
TIGR01490,"HAD hydrolase, family IB"
TIGR01992,"PTS system, trehalose-specific IIBC component"
TIGR00281,segregation and condensation protein B
TIGR00273,iron-sulfur cluster-binding protein
TIGR00075,hydrogenase expression/formation protein HypD
TIGR03162,alpha-ribazole phosphatase
TIGR02073,penicillin-binding protein 1C
TIGR01087,UDP-N-acetylmuramoylalanine--D-glutamate ligase
TIGR00565,anthranilate synthase component I
TIGR04149,"natural product precursor, GG-Bacteroidales family"
TIGR01621,"pseudouridine synthase Rlu family protein"
TIGR00855,ribosomal protein bL12
TIGR01110,"malonate decarboxylase alpha subunit"
TIGR00922,transcription termination/antitermination factor NusG
TIGR00493,"ATP-dependent Clp endopeptidase, proteolytic subunit ClpP"
TIGR00011,Cys-tRNA(Pro) deacylase
TIGR00442,histidine--tRNA ligase
TIGR00317,cobalamin 5'-phosphate synthase
TIGR03594,"ribosome-associated GTPase EngA"
TIGR00684,nitrate reductase molybdenum cofactor assembly chaperone
TIGR01683,thiamine biosynthesis protein ThiS
TIGR00720,L-serine ammonia-lyase
TIGR01393,elongation factor 4
TIGR01959,"NADH oxidoreductase (quinone), F subunit"
TIGR02892,sporulation protein YabP
TIGR01921,diaminopimelate dehydrogenase
TIGR02888,"sporulation protein, YlmC/YmxH family"
TIGR01201,putative DNA-binding protein
TIGR04283,"transferase 2, rSAM/selenodomain-associated"
TIGR01427,"PTS system, Fru family, IIC component"
TIGR03647,putative solute:sodium symporter small subunit
TIGR02044,Cu(I)-responsive transcriptional regulator
TIGR02384,"addiction module antitoxin, RelB/DinJ family"
TIGR01735,phosphoribosylformylglycinamidine synthase
TIGR03573,"N-acetyl sugar amidotransferase"
TIGR02585,"CRISPR-associated protein Cas7/Cst2/DevR, subtype I-B/TNEAP"
TIGR03993,"[NiFe] hydrogenase assembly chaperone, HybE family"
TIGR00032,argininosuccinate synthase
TIGR00959,signal recognition particle protein
TIGR00481,"Raf kinase inhibitor-like protein, YbhB/YbcL family"
TIGR01903,CRISPR type III-A/MTUBE-associated RAMP protein Csm4
TIGR00969,"sulfate ABC transporter, permease protein"
TIGR03449,D-inositol-3-phosphate glycosyltransferase
TIGR00203,"cytochrome d ubiquinol oxidase, subunit II"
TIGR03591,polyribonucleotide nucleotidyltransferase
TIGR01630,"phage uncharacterized protein, C-terminal domain"
TIGR00430,tRNA-guanine transglycosylase
TIGR00351,"respiratory nitrate reductase, gamma subunit"
TIGR03766,conserved hypothetical integral membrane protein
TIGR00067,glutamate racemase
TIGR01022,ribosomal protein bL36
TIGR03571,"luciferase-type oxidoreductase, BA3436 family"
TIGR00394,"PTS system, lactose-specific IIC component"
TIGR04226,fimbrial isopeptide formation D2 domain
TIGR02666,molybdenum cofactor biosynthesis protein A
TIGR02082,methionine synthase
TIGR00018,pantoate--beta-alanine ligase
TIGR00611,DNA replication and repair protein RecF
TIGR00227,riboflavin-specific deaminase C-terminal domain
TIGR04086,"putative membrane protein, TIGR04086 family"
TIGR03955,[FeFe] hydrogenase H-cluster radical SAM maturase HydG
TIGR00438,ribosomal RNA large subunit methyltransferase J
TIGR02909,"uncharacterized protein, YkwD family"
TIGR02487,anaerobic ribonucleoside-triphosphate reductase
TIGR02121,sodium/proline symporter
TIGR03083,uncharacterized Actinobacterial protein TIGR03083
TIGR01681,"HAD phosphatase, family IIIC"
TIGR03570,"sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family"
TIGR04092,"D-alanyl-lipoteichoic acid biosynthesis protein DltD"
TIGR00128,malonyl CoA-acyl carrier protein transacylase
TIGR00882,oligosaccharide:H+ symporter
TIGR00541,"histidine decarboxylase, pyruvoyl type"
TIGR04112,"putative selenium metabolism protein, YedE family"
TIGR02095,"glycogen/starch synthase, ADP-glucose type"
TIGR02141,"molybdate ABC transporter, permease protein"
TIGR02906,"spore coat protein, CotS family"
TIGR01886,dipeptidase PepV
TIGR01518,glycerol-3-phosphate cytidylyltransferase
TIGR00400,magnesium transporter
TIGR00412,redox-active disulfide protein 2
TIGR00608,DNA repair protein RadC
TIGR00033,chorismate synthase
TIGR00714,Fe-S protein assembly co-chaperone HscB
TIGR02774,ATP-dependent nuclease subunit B
TIGR00069,histidinol dehydrogenase
TIGR01730,"efflux transporter, RND family, MFP subunit"
TIGR02348,chaperonin GroL
TIGR01032,ribosomal protein bL20
TIGR01666,TIGR01666 family membrane protein
TIGR01777,TIGR01777 family protein
TIGR01139,cysteine synthase A
TIGR00455,adenylyl-sulfate kinase
TIGR01682,"molybdopterin converting factor, subunit 1"
TIGR03721,BclB C-terminal domain
TIGR04178,exosortase/archaeosortase family protein
TIGR00735,"imidazoleglycerol phosphate synthase, cyclase subunit"
TIGR00235,uridine kinase
TIGR00328,flagellar biosynthetic protein FlhB
TIGR02986,"type II restriction endonuclease, Alw26I/Eco31I/Esp3I family"
TIGR00683,N-acetylneuraminate lyase
TIGR01671,phage conserved hypothetical protein TIGR01671
TIGR00054,RIP metalloprotease RseP
TIGR02151,"isopentenyl-diphosphate delta-isomerase, type 2"
TIGR02571,ComE operon protein 2
TIGR01831,putative 3-oxoacyl-(acyl-carrier-protein) reductase
TIGR01796,chorismate mutase
TIGR01882,peptidase T
TIGR00157,ribosome small subunit-dependent GTPase A
TIGR02103,"alpha-1,6-glucosidases, pullulanase-type"
TIGR02112,cyd operon protein YbgE
TIGR03514,gliding motility-associated lipoprotein GldB
TIGR02168,chromosome segregation protein SMC
TIGR02010,iron-sulfur cluster assembly transcription factor IscR
TIGR03821,EF-P beta-lysylation protein EpmB
TIGR01058,"DNA topoisomerase IV, B subunit"
TIGR01088,"3-dehydroquinate dehydratase, type II"
TIGR03715,KxYKxGKxW signal peptide
TIGR02960,"RNA polymerase sigma-70 factor, TIGR02960 family"
TIGR00825,"PTS system, glucitol/sorbitol-specific, IIBC component"
TIGR00380,cobalamin biosynthesis protein CobD
TIGR01706,"periplasmic nitrate reductase, large subunit"
TIGR01352,TonB family C-terminal domain
TIGR02839,stage V sporulation protein AE
TIGR00160,methylglyoxal synthase
TIGR00785,"divalent Anion:Na+ Symporter (DASS) Family (TC 2.A.47)"
TIGR00090,ribosome silencing factor
TIGR02012,protein RecA
TIGR03608,"putative bacteriocin export ABC transporter, lactococcin 972 group"
TIGR00795,"transporter, lactate permease (LctP) family"
TIGR02646,TIGR02646 family protein
TIGR03725,tRNA threonylcarbamoyl adenosine modification protein YeaZ
TIGR02176,pyruvate:ferredoxin (flavodoxin) oxidoreductase
TIGR00225,C-terminal processing peptidase
TIGR01093,"3-dehydroquinate dehydratase, type I"
TIGR02549,CRISPR-associated DxTHG motif protein
TIGR03377,"glycerol-3-phosphate dehydrogenase, anaerobic, A subunit"
TIGR01306,guanosine monophosphate reductase
TIGR01513,nicotinate phosphoribosyltransferase
TIGR04365,autonomous glycyl radical cofactor GrcA
TIGR00649,"beta-CASP ribonuclease, RNase J family"
TIGR00234,tyrosine--tRNA ligase
TIGR02188,acetate--CoA ligase
TIGR03748,"integrating conjugative element protein PilL, PFGI-1 class"
TIGR01082,UDP-N-acetylmuramate--L-alanine ligase
TIGR00973,2-isopropylmalate synthase
TIGR03445,N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase
TIGR00527,glycine cleavage system H protein
TIGR00479,23S rRNA (uracil-5-)-methyltransferase RumA
TIGR02521,type IV pilus biogenesis/stability protein PilW
TIGR01161,"phosphoribosylaminoimidazole carboxylase, ATPase subunit"
TIGR02041,"sulfite reductase (NADPH) hemoprotein, beta-component"
TIGR03709,"polyphosphate:nucleotide phosphotransferase, PPK2 family"
TIGR00346,azaleucine resistance protein AzlC
TIGR00038,translation elongation factor P
TIGR00385,"periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily"
TIGR03942,anaerobic sulfatase maturase
TIGR00433,biotin synthase
TIGR04274,DNA-deoxyinosine glycosylase
TIGR02336,"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase"
TIGR01494,"HAD ATPase, P-type, family IC"
TIGR02273,16S rRNA processing protein RimM
TIGR00632,DNA mismatch endonuclease Vsr
TIGR00964,"preprotein translocase, SecE subunit"
TIGR03535,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
TIGR02505,"ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent"
TIGR01763,"malate dehydrogenase, NAD-dependent"
TIGR01716,"transcriptional activator, Rgg/GadR/MutR family, C-terminal domain"
TIGR00791,"transporter, gluconate:H+ symporter (GntP) family"
TIGR03843,conserved hypothetical protein
TIGR03704,"putative protein-(glutamine-N5) methyltransferase, unknown substrate-specific"
TIGR01280,"exodeoxyribonuclease VII, small subunit"
TIGR00348,"type I site-specific deoxyribonuclease, HsdR family"
TIGR00391,hydrogenase (NiFe) small subunit (hydA)
TIGR00384,succinate dehydrogenase and fumarate reductase iron-sulfur protein
TIGR01193,ABC-type bacteriocin transporter
TIGR01296,aspartate-semialdehyde dehydrogenase
TIGR01395,flagellar basal-body rod protein FlgC
TIGR00081,phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR01635,phage virion morphogenesis protein
TIGR01224,imidazolonepropionase
TIGR03512,gliding motility-associated lipoprotein GldD
TIGR00350,cell envelope-related function transcriptional attenuator common domain
TIGR00756,pentatricopeptide repeat domain
TIGR00151,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
TIGR03562,"peroxiredoxin, OsmC subfamily"
TIGR00467,lysine--tRNA ligase
TIGR01547,"phage terminase, large subunit, PBSX family"
TIGR02537,archaeal flagellin N-terminal-like domain
TIGR00802,"transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family"
TIGR00876,transaldolase
TIGR01728,"ABC transporter, substrate-binding protein, aliphatic sulfonates family"
TIGR00083,riboflavin biosynthesis protein RibF
TIGR00767,transcription termination factor Rho
TIGR04482,proline reductase cluster protein PrdD
TIGR02939,RNA polymerase sigma factor RpoE
TIGR00456,arginine--tRNA ligase
TIGR01520,"fructose-bisphosphate aldolase, class II"
TIGR03361,type VI secretion system Vgr family protein
TIGR04256,GxxExxY protein
TIGR01873,"CRISPR-associated endoribonuclease Cas2, subtype I-E/ECOLI"
TIGR03726,putative cross-wall-targeting lipoprotein signal
TIGR00551,L-aspartate oxidase
TIGR03139,7-cyano-7-deazaguanine reductase
TIGR04035,glucan-binding repeat
TIGR00686,putative alkylphosphonate utilization operon protein PhnA
TIGR01232,"tagatose 1,6-diphosphate aldolase"
TIGR00843,benzoate transporter
TIGR01945,"electron transport complex, RnfABCDGE type, C subunit"
TIGR00581,molybdenum cofactor biosynthesis protein C
TIGR00036,4-hydroxy-tetrahydrodipicolinate reductase
TIGR02374,"nitrite reductase [NAD(P)H], large subunit"
TIGR00219,rod shape-determining protein MreC
TIGR02033,dihydropyrimidinase
TIGR03413,hydroxyacylglutathione hydrolase
TIGR00113,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
TIGR02592,"CRISPR-associated protein Cas5, subtype I-B/HMARI"
TIGR01752,flavodoxin
TIGR00101,urease accessory protein UreG
TIGR00126,deoxyribose-phosphate aldolase
TIGR00041,DTMP phosphorylase
TIGR00190,phosphomethylpyrimidine synthase
TIGR03511,gliding motility-associated lipoprotein GldH
TIGR04183,Por secretion system C-terminal sorting domain
TIGR01644,phage baseplate assembly protein V
TIGR00003,copper ion binding protein
TIGR03797,"NHLM bacteriocin system ABC transporter, ATP-binding protein"
TIGR02401,malto-oligosyltrehalose synthase
TIGR03973,six-cysteine peptide SCIFF
TIGR01144,"ATP synthase F0, B subunit"
TIGR00345,"transport-energizing ATPase"
TIGR00669,aspartate--ammonia ligase
TIGR00680,"K+-transporting ATPase, A subunit"
TIGR00839,aspartate ammonia-lyase
TIGR00337,CTP synthase
TIGR00105,ribosomal protein bL31
TIGR03723,tRNA threonylcarbamoyl adenosine modification protein TsaD
TIGR01634,phage tail protein I
TIGR01913,phage recombination protein Bet
TIGR00254,diguanylate cyclase (GGDEF) domain
TIGR01400,flagellar biosynthetic protein FliR
TIGR02983,"RNA polymerase sigma-70 factor, sigma-E family"
TIGR01957,"NADH-quinone oxidoreductase, B subunit"
TIGR02607,"addiction module antidote protein, HigA family"
TIGR00854,"PTS system, mannose/fructose/sorbose family, IIB component"
TIGR00614,"ATP-dependent DNA helicase, RecQ family"
TIGR01120,ribose 5-phosphate isomerase B
TIGR00738,Rrf2 family protein
TIGR01798,citrate (Si)-synthase
TIGR01140,threonine-phosphate decarboxylase
TIGR00010,"hydrolase, TatD family"
TIGR00021,ribose 5-phosphate isomerase A
TIGR02393,RNA polymerase sigma factor RpoD
TIGR02673,cell division ATP-binding protein FtsE
TIGR01131,"ATP synthase F0, A subunit"
TIGR03833,conserved hypothetical protein
TIGR02274,deoxycytidine triphosphate deaminase
TIGR00636,"ATP-cob(I)alamin adenosyltransferase"
TIGR02119,sodium/pantothenate symporter
TIGR04448,creatininase
TIGR03828,1-phosphofructokinase
TIGR03308,"phosphonate metabolim protein, transferase hexapeptide repeat family"
TIGR04197,"type VII secretion effector, TIGR04197 family"
TIGR03609,polysaccharide pyruvyl transferase CsaB
TIGR01275,"pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family"
TIGR03584,"pseudaminic acid cytidylyltransferase"
TIGR02006,cysteine desulfurase IscS
TIGR03497,flagellar protein export ATPase FliI
TIGR00064,signal recognition particle-docking protein FtsY
TIGR00502,glucosamine-6-phosphate deaminase
TIGR01404,"type III secretion protein, YscU/HrpY family"
TIGR03057,X-X-X-Leu-X-X-Gly heptad repeats
TIGR04036,"putative luciferase-like monooxygenase, FMN-dependent, CE1758 family"
TIGR00426,competence protein ComEA helix-hairpin-helix repeat region
TIGR00612,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
TIGR02055,"adenylylsulfate reductase, thioredoxin dependent"
TIGR01895,"CRISPR-associated protein Cas5, subtype I-B/TNEAP"
TIGR04148,"radical SAM peptide maturase, GG-Bacteroidales family"
TIGR02225,tyrosine recombinase XerD
TIGR01389,ATP-dependent DNA helicase RecQ
TIGR03112,6-pyruvoyl tetrahydropterin synthase-related domain
TIGR03358,"type VI secretion protein, VC_A0107 family"
TIGR03316,knotted carbamoyltransferase YgeW
TIGR00216,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR01065,"channel protein, hemolysin III family"
TIGR00498,repressor LexA
TIGR03185,DNA sulfur modification protein DndD
TIGR00488,putative HD superfamily hydrolase
TIGR01371,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
TIGR02294,"nickel ABC transporter, nickel/metallophore periplasmic binding protein"
TIGR03533,"protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific"
TIGR03215,acetaldehyde dehydrogenase (acetylating)
TIGR01036,dihydroorotate dehydrogenase (fumarate)
TIGR04336,AmmeMemoRadiSam system protein B
TIGR00368,Mg chelatase-like protein
TIGR00478,TlyA family rRNA methyltransferase/putative hemolysin
TIGR01727,"oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain"
TIGR01497,"K+-transporting ATPase, B subunit"
TIGR00331,heat-inducible transcription repressor HrcA
TIGR03426,rod shape-determining protein MreD
TIGR03738,PRTRC system protein C
TIGR01573,CRISPR-associated endonuclease Cas2
TIGR00124,[citrate (pro-3S)-lyase] ligase
TIGR04407,LPS export ABC transporter permease LptF
TIGR01203,hypoxanthine phosphoribosyltransferase
TIGR00185,tRNA (cytidine(34)-2'-O)-methyltransferase
TIGR01847,bacteriocin-type signal sequence
TIGR01297,cation diffusion facilitator family transporter
TIGR01067,ribosomal protein uL14
TIGR00406,ribosomal protein L11 methyltransferase
TIGR00593,DNA polymerase I
TIGR00299,TIGR00299 family protein
TIGR00204,1-deoxy-D-xylulose-5-phosphate synthase
TIGR01940,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, E subunit"
TIGR02886,anti-sigma F factor antagonist
TIGR02805,tonB-system energizer ExbB
TIGR03882,bacteriocin biosynthesis cyclodehydratase domain
TIGR03943,TIGR03943 family protein
TIGR00233,tryptophan--tRNA ligase
TIGR03695,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
TIGR00643,ATP-dependent DNA helicase RecG
TIGR01792,"urease, alpha subunit"
TIGR00370,"sensor histidine kinase inhibitor, KipI family"
TIGR02512,"[FeFe] hydrogenase, group A"
TIGR03261,"putative 2-aminoethylphosphonate ABC transporter, periplasmic 2-aminoethylphosphonate-binding protein"
TIGR02606,"putative addiction module antidote protein, CC2985 family"
TIGR02358,putative hydroxymethylpyrimidine transporter CytX
TIGR03138,queuine synthase
TIGR00418,threonine--tRNA ligase
TIGR01470,"siroheme synthase, N-terminal domain"
TIGR01625,AspT/YidE/YbjL antiporter duplication domain
TIGR00965,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
TIGR00112,pyrroline-5-carboxylate reductase
TIGR02290,"oligoendopeptidase, pepF/M3 family"
TIGR00912,spore germination protein (amino acid permease)
TIGR02127,orotidine 5'-phosphate decarboxylase
TIGR00077,signal peptidase II
TIGR00097,hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
TIGR03869,"proposed F420-0 ABC transporter, permease protein"
TIGR02776,DNA ligase D
TIGR02156,"phenylacetate-CoA oxygenase, PaaG subunit"
TIGR02593,CRISPR-associated protein Cas5
TIGR01273,arginine decarboxylase
TIGR02226,N-terminal double-transmembrane domain
TIGR03147,"cytochrome c nitrite reductase, accessory protein NrfF"
TIGR00240,"aspartate carbamoyltransferase, regulatory subunit"
TIGR02116,"addiction module toxin, Txe/YoeB family"
TIGR01074,ATP-dependent DNA helicase Rep
TIGR00338,phosphoserine phosphatase SerB
TIGR00635,Holliday junction DNA helicase RuvB
TIGR01996,"PTS system, sucrose-specific IIBC component"
TIGR02869,spore cortex-lytic enzyme
TIGR01893,Xaa-His dipeptidase
TIGR02129,phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
TIGR00166,ribosomal protein bS6
TIGR00414,serine--tRNA ligase
TIGR04107,putative heme utilization radical SAM enzyme HutW
TIGR00416,DNA repair protein RadA
TIGR01484,"HAD hydrolase, family IIB"
TIGR02362,probable dihydroxyacetone kinase DhaK1b subunit
TIGR03519,"type IX secretion system membrane protein, PorP/SprF family"
TIGR00472,"phenylalanine--tRNA ligase, beta subunit"
TIGR01051,DNA topoisomerase I
TIGR03214,putative allantoin catabolism protein
TIGR02943,"RNA polymerase sigma-70 factor, TIGR02943 family"
TIGR03691,"proteasome, alpha subunit"
TIGR02248,DNA mismatch repair endonuclease MutH
TIGR02796,protein TolQ
TIGR04435,restriction system-associated AAA family ATPase
TIGR01465,precorrin-4 C11-methyltransferase
TIGR00822,"PTS system, mannose/fructose/sorbose family, IIC component"
TIGR03771,"anchored repeat-type ABC transporter, ATP-binding subunit"
TIGR03534,"protein-(glutamine-N5) methyltransferase, release factor-specific"
TIGR00214,lipoyl(octanoyl) transferase
TIGR03759,"integrating conjugative element protein, PFL_4693 family"
TIGR02452,TIGR02452 family protein
TIGR03952,"zinc-dependent metalloproteinase lipoprotein, BF0631 family"
TIGR00263,"tryptophan synthase, beta subunit"
TIGR01444,"methyltransferase, FkbM family"
TIGR02027,"DNA-directed RNA polymerase, alpha subunit"
TIGR00848,"PTS system, fructose subfamily, IIA component"
TIGR02368,dimethylamine:corrinoid methyltransferase
TIGR03769,actinobacterial surface-anchored protein domain
TIGR04116,CXXX repeat peptide modification system protein
TIGR00974,"phosphate ABC transporter, permease protein PstA"
TIGR01230,agmatinase
TIGR01253,"thiamine/thiamine pyrophosphate ABC transporter, permease protein"
TIGR01078,arginine deiminase
TIGR00634,DNA repair protein RecN
TIGR00809,protein-export chaperone SecB
TIGR03559,"probable F420-dependent oxidoreductase, Rv3520c family"
TIGR03450,inositol 1-phosphate synthase
TIGR02183,"glutaredoxin, GrxA family"
TIGR01966,ribonuclease PH
TIGR02488,flagellar basal-body rod protein FlgG
TIGR01583,"formate dehydrogenase, gamma subunit"
TIGR01788,glutamate decarboxylase
TIGR01068,thioredoxin
TIGR00413,rare lipoprotein A
TIGR01001,homoserine O-succinyltransferase
TIGR00078,nicotinate-nucleotide diphosphorylase (carboxylating)
TIGR01853,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
TIGR04119,CXXX repeat peptide maturase
TIGR01439,"transcriptional regulator, AbrB family"
TIGR00445,phospho-N-acetylmuramoyl-pentapeptide-transferase
TIGR01944,"electron transport complex, RnfABCDGE type, B subunit"
TIGR00383,magnesium and cobalt transport protein CorA
TIGR02515,type IV pilus secretin PilQ
TIGR04088,SipW-cognate class signal peptide
TIGR03750,"conjugative transfer region protein, TIGR03750 family"
TIGR00063,GTP cyclohydrolase I
TIGR01954,"transcription termination factor NusA, C-terminal duplication"
TIGR00143,carbamoyltransferase HypF
TIGR00363,"lipoprotein, YaeC family"
TIGR03071,HipA N-terminal domain
TIGR03581,conserved hypothetical protein EF_0839/AHA_3917
TIGR01511,copper-translocating P-type ATPase
TIGR00595,primosomal protein N'
TIGR00071,tRNA pseudouridine(38-40) synthase
TIGR00619,"exonuclease SbcCD, D subunit"
TIGR02067,histidinol-phosphatase
TIGR01176,"fumarate reductase (quinol), flavoprotein subunit"
TIGR02885,RNA polymerase sigma-F factor
TIGR00547,outer membrane lipoprotein carrier protein LolA
TIGR03142,cytochrome c-type biogenesis protein CcmI
TIGR01749,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabA
TIGR00678,"DNA polymerase III, delta' subunit"
TIGR00382,"ATP-dependent Clp protease, ATP-binding subunit ClpX"
TIGR02874,sporulation protein YtfJ
TIGR00731,"ribosomal protein bL25, Ctc-form"
TIGR02827,anaerobic ribonucleoside-triphosphate reductase
TIGR01466,precorrin-3B C17-methyltransferase
TIGR00978,aspartate-semialdehyde dehydrogenase
TIGR00444,MazG family protein
TIGR02920,accessory Sec system translocase SecY2
TIGR02091,glucose-1-phosphate adenylyltransferase
TIGR03960,radical SAM family uncharacterized protein
TIGR03927,type VII secretion protein EssA
TIGR00628,uracil-DNA glycosylase
TIGR02203,lipid A export permease/ATP-binding protein MsbA
TIGR03409,"urea ABC transporter, permease protein UrtB"
TIGR01637,"phage transcriptional regulator, ArpU family"
TIGR01260,"ATP synthase F0, C subunit"
TIGR01593,toxin secretion/phage lysis holin
TIGR01811,"succinate dehydrogenase or fumarate reductase, flavoprotein subunit"
TIGR00630,excinuclease ABC subunit A
TIGR01421,glutathione-disulfide reductase
TIGR03160,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
TIGR00757,"ribonuclease, Rne/Rng family"
TIGR01331,"3'(2'),5'-bisphosphate nucleotidase"
TIGR00512,S-methyl-5-thioribose-1-phosphate isomerase
TIGR00705,"signal peptide peptidase SppA, 67K type"
TIGR04285,nucleoid occlusion protein
TIGR03597,ribosome biogenesis GTPase YqeH
TIGR00179,UDP-N-acetylenolpyruvoylglucosamine reductase
TIGR01122,branched-chain amino acid aminotransferase
TIGR01146,"ATP synthase F1, gamma subunit"
TIGR01403,"type III secretion protein, HrpO family"
TIGR00487,translation initiation factor IF-2
TIGR01994,"SUF system FeS assembly protein, NifU family"
TIGR01865,CRISPR subtype II RNA-guided endonuclease Cas9
TIGR00708,"cob(I)yrinic acid a,c-diamide adenosyltransferase"
TIGR02844,sporulation transcriptional regulator SpoIIID
TIGR00963,"preprotein translocase, SecA subunit"
TIGR02185,"putative ECF transporter S component, Trep_Strep family"
TIGR00704,Na/Pi-cotransporter II-related protein
TIGR02133,ribose 5-phosphate isomerase
TIGR04131,gliding motility-associated C-terminal domain
TIGR01108,oxaloacetate decarboxylase alpha subunit
TIGR01391,DNA primase
TIGR02980,"RNA polymerase sigma-70 factor, sigma-B/F/G subfamily"
TIGR04425,putative sugar phosphate phospholyase (cyclizing)
TIGR00447,aminoacyl-tRNA hydrolase
TIGR00137,tRNA:m(5)U-54 methyltransferase
TIGR03883,"uncharacterized protein, coenzyme F420 biosynthesis associated"
TIGR03420,DnaA regulatory inactivator Hda
TIGR00615,recombination protein RecR
TIGR00027,"methyltransferase, TIGR00027 family"
TIGR03701,"menaquinone biosynthesis decarboxylase, SCO4490 family"
TIGR00810,"preprotein translocase, SecG subunit"
TIGR01435,glutamate--cysteine ligase/glutathione synthase
TIGR03858,"probable oxidoreductase, LLM family"
TIGR00154,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR00758,"uracil-DNA glycosylase, family 4"
TIGR02050,"carboxylate-amine ligase, YbdK family"
TIGR02135,phosphate transport system regulatory protein PhoU
TIGR03577,conserved hypothetical protein EF_0830/AHA_3911
TIGR03641,"CRISPR-associated endonuclease Cas1, subtype I-B/HMARI/TNEAP"
TIGR00881,phosphoglycerate transporter family protein
TIGR02428,"3-oxoacid CoA-transferase, B subunit"
TIGR02589,"CRISPR-associated protein Cas7/Csd2, subtype I-C/DVULG"
TIGR00392,isoleucine--tRNA ligase
TIGR01926,uncharacterized peroxidase-related enzyme
TIGR03710,"2-oxoacid:acceptor oxidoreductase, alpha subunit"
TIGR01859,"fructose-1,6-bisphosphate aldolase, class II"
TIGR01090,adenine phosphoribosyltransferase
TIGR01326,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
TIGR03830,"putative zinc finger/helix-turn-helix protein, YgiT family"
TIGR01195,"sodium pump decarboxylases, gamma subunit"
TIGR00821,"PTS system, glucitol/sorbitol-specific, IIC component"
TIGR01204,6-carboxyhexanoate--CoA ligase
TIGR02529,ethanolamine utilization protein EutJ family protein
TIGR02456,trehalose synthase
TIGR00706,"signal peptide peptidase SppA, 36K type"
TIGR04396,surface carbohydrate biosynthesis protein
TIGR00360,ComEC/Rec2-related protein
TIGR00109,ferrochelatase
TIGR03728,"glycosyltransferase, SP_1767 family"
TIGR00205,flagellar hook-basal body complex protein FliE
TIGR00504,pyroglutamyl-peptidase I
TIGR03187,DGQHR domain
TIGR00554,pantothenate kinase
TIGR00658,ornithine carbamoyltransferase
TIGR01056,DNA topoisomerase III
TIGR00465,ketol-acid reductoisomerase
TIGR00016,acetate kinase
TIGR00199,"amidohydrolase, PncC family"
TIGR03885,probable non-F420 flavinoid oxidoreductase
TIGR00981,ribosomal protein uS12
TIGR01302,inosine-5'-monophosphate dehydrogenase
TIGR02208,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
TIGR02231,conserved hypothetical protein
TIGR04067,"putative bacteriocin precursor, CLOSPO_01332 family"
