TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR01998,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR01999,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02000,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02000,179,Nitrogen fixation,Central intermediary metabolism,Central intermediary metabolism::Nitrogen fixation
TIGR02002,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR02003,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR02004,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR02005,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR02006,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02006,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR02007,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02010,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02010,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02011,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02012,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02013,135,DNA-dependent RNA polymerase,Transcription,Transcription::DNA-dependent RNA polymerase
TIGR02014,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR02015,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR02016,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR02017,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR02018,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR02018,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02019,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02020,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR02021,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02022,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR02023,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02024,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR02025,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02027,135,DNA-dependent RNA polymerase,Transcription,Transcription::DNA-dependent RNA polymerase
TIGR02028,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02029,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02030,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02031,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02032,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02034,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02035,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR02036,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02037,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR02037,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR02038,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR02038,263,Protein interactions,Regulatory functions,Regulatory functions::Protein interactions
TIGR02039,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02040,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR02040,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02041,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02042,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02043,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02044,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02045,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR02046,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR02047,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02048,86,Glutathione and analogs,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Glutathione and analogs"
TIGR02049,86,Glutathione and analogs,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Glutathione and analogs"
TIGR02051,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR02051,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02052,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR02053,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR02054,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR02055,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02056,191,Chlorophyll and bacteriochlorphyll,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Chlorophyll and bacteriochlorphyll"
TIGR02057,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02058,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02060,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02061,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02062,134,Degradation of RNA,Transcription,Transcription::Degradation of RNA
TIGR02063,134,Degradation of RNA,Transcription,Transcription::Degradation of RNA
TIGR02064,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02065,134,Degradation of RNA,Transcription,Transcription::Degradation of RNA
TIGR02066,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR02067,161,Histidine family,Amino acid biosynthesis,Amino acid biosynthesis::Histidine family
TIGR02068,706,Biosynthesis of natural products,Cellular processes,Cellular processes::Biosynthesis of natural products
TIGR02069,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02070,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02071,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02072,77,Biotin,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Biotin"
TIGR02073,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02074,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02075,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Nucleotide and nucleoside interconversions"
TIGR02076,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Nucleotide and nucleoside interconversions"
TIGR02077,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR02078,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR02079,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR02080,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR02081,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR02082,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR02083,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR02084,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR02085,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR02089,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02091,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02092,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02093,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02095,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02099,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02100,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02101,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02103,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02105,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02105,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02106,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02107,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02108,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02109,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02110,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02111,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02112,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02113,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A"
TIGR02114,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A"
TIGR02115,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02116,94,Toxin production and resistance,Cellular processes,Cellular processes::Toxin production and resistance
TIGR02116,708,Other,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Other
TIGR02117,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02118,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02119,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A"
TIGR02119,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR02120,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02121,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR02122,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR02123,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR02126,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02127,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Pyrimidine ribonucleotide biosynthesis"
TIGR02129,161,Histidine family,Amino acid biosynthesis,Amino acid biosynthesis::Histidine family
TIGR02130,71,Aspartate family,Amino acid biosynthesis,Amino acid biosynthesis::Aspartate family
TIGR02134,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR02135,129,Other,Regulatory functions,Regulatory functions::Other
TIGR02135,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02136,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02138,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02139,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02140,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02141,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02142,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02143,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR02145,88,Other,Cell envelope,Cell envelope::Other
TIGR02147,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02149,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02150,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02151,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR02152,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR02153,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR02154,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02154,699,Two-component systems,Signal transduction,Signal transduction::Two-component systems
TIGR02155,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02156,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02157,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02158,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02159,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02160,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02165,719,NA,NA,NA::NA
TIGR02168,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR02168,170,Chromosome-associated proteins,DNA metabolism,DNA metabolism::Chromosome-associated proteins
TIGR02169,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR02169,170,Chromosome-associated proteins,DNA metabolism,DNA metabolism::Chromosome-associated proteins
TIGR02170,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02178,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR02181,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02182,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02185,141,Unknown substrate,Transport and binding proteins,Transport and binding proteins::Unknown substrate
TIGR02191,166,RNA processing,Transcription,Transcription::RNA processing
TIGR02192,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02193,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02195,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02197,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02198,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02199,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02201,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02203,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02203,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR02205,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR02207,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02208,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02209,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR02210,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02210,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR02211,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02212,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02213,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02214,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02214,705,Sporulation and germination,Cellular processes,Cellular processes::Sporulation and germination
TIGR02215,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02216,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02217,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02218,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02219,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02220,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02221,719,NA,NA,NA::NA
TIGR02222,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR02222,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02223,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR02224,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02225,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02226,704,Domain,Hypothetical proteins,Hypothetical proteins::Domain
TIGR02227,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02229,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02230,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR02235,81,Menaquinone and ubiquinone,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Menaquinone and ubiquinone"
TIGR02236,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02240,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02242,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02243,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02248,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02249,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02249,708,Other,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Other
TIGR02257,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR02258,166,RNA processing,Transcription,Transcription::RNA processing
TIGR02270,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02273,166,RNA processing,Transcription,Transcription::RNA processing
TIGR02274,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02275,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02277,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02281,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR02282,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02283,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02285,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02287,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02292,157,General,Unknown function,Unknown function::General
TIGR02293,92,Other,Cellular processes,Cellular processes::Other
TIGR02294,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02307,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02307,166,RNA processing,Transcription,Transcription::RNA processing
TIGR02308,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02308,166,RNA processing,Transcription,Transcription::RNA processing
TIGR02315,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02318,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02322,103,Phosphorus compounds,Central intermediary metabolism,Central intermediary metabolism::Phosphorus compounds
TIGR02323,103,Phosphorus compounds,Central intermediary metabolism,Central intermediary metabolism::Phosphorus compounds
TIGR02325,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR02325,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02326,103,Phosphorus compounds,Central intermediary metabolism,Central intermediary metabolism::Phosphorus compounds
TIGR02328,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02329,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02334,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR02336,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02339,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR02348,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR02350,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR02351,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR02352,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR02354,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR02355,82,Molybdopterin,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Molybdopterin"
TIGR02356,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR02357,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR02358,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins,"Transport and binding proteins::Nucleosides, purines and pyrimidines"
TIGR02358,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR02359,147,Other,Transport and binding proteins,Transport and binding proteins::Other
TIGR02359,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR02360,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02367,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR02374,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR02375,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR02376,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR02378,160,Nitrogen metabolism,Central intermediary metabolism,Central intermediary metabolism::Nitrogen metabolism
TIGR02379,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02380,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02381,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02381,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
